RECID	HHOLDID	NOJOUR	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I20	I21	I22	I23	I24	I25	I27	I28	I30	I31	I32	I33	I34	I35
3	4244	14	3	1	1	3	2	1	9	2	17	10	2	2	1	1	1	10	2	9	13	7	1	2	8	2	2	3	5	8	7	8	6	6	9
3	4244	10	4	1	3	4	2	7	19	14	10	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	6	10	7	1	9
3	4245	23	1	1	1	1	1	1	10	5	24	6	1	2	2	2	1	7	4	9	13	1	1	2	8	2	2	1	5	8	9	11	11	1	8
3	4245	15	2	1	1	2	1	4	18	1	20	10	2	1	1	1	1	10	2	9	13	7	1	2	8	2	2	2	5	8	7	9	9	3	7
3	4245	0	3	4	3	4	2	7	19	14	2	1	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4246	30	1	1	1	1	1	1	2	8	28	7	1	2	2	2	1	8	4	9	13	1	1	2	8	2	2	1	5	8	10	12	12	1	8
3	4246	24	2	1	1	2	1	2	6	2	28	12	2	1	2	1	1	8	4	9	13	2	1	2	8	2	2	2	5	8	9	11	9	7	8
3	4246	14	3	1	3	4	2	7	19	14	14	4	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	7	8	9	2	6
3	4246	6	4	1	3	4	2	7	19	14	8	3	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	3	3	3	2	2
3	4247	2	1	1	1	1	1	3	11	3	32	9	1	2	1	1	1	10	2	9	13	7	1	4	8	4	2	2	5	8	2	2	2	2	1
3	4247	0	2	1	1	2	1	4	18	1	31	14	2	1	1	1	1	10	2	9	13	7	2	9	14	9	8	8	8	8	1	1	1	1	1
3	4248	29	1	1	1	1	1	1	1	13	28	7	1	2	2	1	2	8	4	9	13	2	1	1	5	1	2	2	1	8	10	12	8	1	8
3	4248	24	2	1	1	2	1	4	18	1	28	12	2	1	1	1	1	10	2	9	13	7	1	1	5	1	1	8	7	8	9	11	6	3	8
3	4248	21	3	1	3	4	2	7	19	14	14	4	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	9	10	5	2	7
3	4248	11	4	1	3	4	2	7	19	14	10	3	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	6	8	4	1	8
3	4249	0	1	3	1	1	1	1	8	13	29	7	1	2	2	2	2	8	4	9	13	1	1	3	5	3	7	8	7	8	15	14	14	14	15
3	4249	0	2	3	1	2	1	1	2	13	28	12	2	1	2	1	1	8	4	9	13	2	1	3	5	3	7	8	7	8	15	14	14	14	15
3	4249	0	3	3	1	3	2	1	6	13	28	7	1	2	1	1	1	10	2	9	13	7	1	3	5	3	2	4	2	3	15	14	14	14	15
3	4250	10	1	1	1	1	1	1	6	5	29	7	1	2	1	1	1	10	2	9	13	7	1	3	7	3	3	4	2	4	6	10	7	8	8
3	4250	10	2	1	1	2	1	1	9	3	28	12	2	1	1	1	1	10	2	9	13	7	1	3	7	3	4	5	7	8	15	14	14	14	15
3	4250	0	3	3	2	3	2	6	18	13	22	6	1	2	5	5	5	9	3	8	12	8	3	8	13	8	7	7	7	7	15	14	14	14	15
3	4251	16	1	1	1	1	1	1	9	9	28	7	1	2	1	1	1	10	2	9	13	7	1	4	8	4	3	5	7	8	7	11	7	9	1
3	4251	14	2	1	1	2	1	2	6	3	27	12	2	1	1	1	1	10	2	9	13	7	1	4	8	4	3	4	7	8	6	10	6	7	6
3	4251	15	3	1	3	4	2	7	19	14	15	4	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	7	10	7	8	5
3	4251	26	4	1	3	4	2	7	19	14	12	4	1	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	9	11	8	6	4
3	4252	0	1	3	1	1	1	2	11	2	31	9	1	2	1	1	1	10	1	7	11	7	1	4	8	4	6	3	7	8	15	14	14	14	15
3	4252	0	2	3	1	2	1	4	18	1	32	14	2	1	1	1	1	10	2	9	13	7	1	4	8	4	2	2	7	8	15	14	14	14	15
3	4253	12	1	1	1	1	2	4	18	1	32	14	2	1	1	1	1	10	2	9	13	7	1	3	6	3	3	4	7	8	6	7	5	2	3
3	4254	4	1	1	1	1	1	3	9	1	32	9	1	2	1	1	1	10	2	9	13	7	1	3	3	3	3	2	1	8	3	3	2	2	4
3	4254	0	2	1	1	2	1	2	6	2	32	14	2	1	1	1	1	10	2	9	13	7	1	3	3	3	1	8	7	8	1	1	1	1	1
3	4255	0	1	3	1	1	2	4	18	3	30	13	2	1	1	1	1	10	2	9	13	7	1	3	13	3	6	3	7	8	15	14	14	14	15
3	4255	0	2	3	1	3	2	1	11	5	27	7	1	2	2	1	1	8	4	9	13	2	1	3	5	3	6	2	7	8	15	14	14	14	15
3	4255	9	3	1	1	3	2	1	6	4	21	11	2	2	1	1	1	10	2	9	13	7	1	4	4	4	3	3	7	8	15	14	14	14	15
3	4255	0	4	3	3	4	2	7	19	14	10	3	2	2	6	6	6	10	4	9	13	9	4	9	14	9	8	8	8	8	15	14	14	14	15
3	4256	0	1	3	1	1	2	3	7	2	32	14	2	1	1	1	1	10	2	9	13	7	1	5	9	5	1	8	7	8	15	14	14	14	15
3	4256	0	2	3	1	3	2	3	6	1	32	14	2	2	1	1	1	10	2	9	13	7	1	5	9	5	1	8	7	8	15	14	14	14	15
3	4257	11	1	1	1	1	2	2	9	2	31	14	2	1	1	1	1	10	2	9	13	7	1	2	5	2	2	4	7	8	6	9	7	8	6
3	4258	0	1	3	2	1	2	6	18	13	29	12	2	1	5	5	5	9	3	8	12	8	3	8	13	8	7	7	7	7	15	14	14	14	15
3	4258	32	2	1	1	3	2	1	9	8	23	6	1	2	2	1	1	8	4	9	13	2	1	4	6	4	1	8	2	3	10	12	7	8	6
3	4258	0	3	3	1	3	2	1	9	5	20	5	1	2	1	1	1	10	2	9	13	7	1	3	6	3	2	2	2	4	15	14	14	14	15
3	4258	0	4	3	1	3	2	1	6	2	16	10	2	2	1	1	1	10	2	9	13	7	1	3	8	3	1	8	7	8	15	14	14	14	15
3	4258	16	5	1	1	3	2	1	6	4	20	10	2	2	1	1	1	10	2	9	13	7	1	3	13	3	2	2	7	8	7	9	6	7	5
3	4259	10	1	1	1	1	1	1	10	5	28	7	1	2	1	1	1	10	1	3	4	7	1	3	4	3	4	4	7	8	6	6	6	1	6
3	4259	12	2	1	1	2	1	2	11	2	27	12	2	1	1	1	1	10	2	9	13	7	1	2	4	2	3	3	7	8	6	7	4	4	3
