RECID	HHOLDID	NOVEH	NOIND	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36
1	5610	0	3	6	1	9	8	3	4	1	4	3	3	1	1	1	1	1	3	1	8	1	7	6	1	6	5	5	8	4	1	2	4	8	10	7	4	7
1	5611	1	2	6	25	10	8	3	4	2	1	2	2	2	1	1	2	1	8	4	9	6	4	6	1	9	13	5	13	8	1	2	4	15	14	14	14	15
1	5612	0	2	1	2	10	8	3	4	2	4	3	2	1	1	1	1	1	8	4	8	1	5	1	3	7	1	8	2	2	1	2	4	15	14	14	14	15
1	5613	1	4	3	14	9	8	3	4	1	3	3	3	2	1	1	2	2	8	4	3	3	10	1	3	13	4	5	6	2	1	2	4	10	12	9	3	1
1	5614	0	2	5	1	11	9	5	4	1	4	3	3	1	1	1	1	2	2	1	7	1	4	3	1	8	5	4	5	3	1	2	4	12	13	7	3	12
1	5615	0	1	7	25	11	4	9	7	2	4	3	1	1	1	1	1	1	8	4	8	1	2	1	4	18	1	7	14	1	1	2	7	15	14	14	14	15
1	5616	1	2	2	25	11	4	9	7	2	1	2	2	2	1	1	2	1	8	4	9	6	3	6	6	18	13	2	13	8	1	2	7	15	14	14	14	15
1	5617	0	2	5	25	11	4	9	7	2	4	3	1	1	1	1	1	1	1	1	8	2	3	6	1	9	5	2	8	5	1	2	7	15	14	14	14	15
1	5618	0	2	7	25	11	9	4	1	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	10	1	8	2	2	1	2	1	1	1	1	1	1
1	5619	0	3	4	6	11	9	4	1	1	4	3	3	1	1	1	1	1	1	1	8	1	6	6	1	10	2	4	5	2	2	1	1	9	11	7	8	4
1	5620	0	2	3	25	11	9	4	1	1	4	3	3	1	1	1	1	1	2	1	8	1	4	1	4	18	2	4	2	2	2	1	1	7	9	6	8	3
1	5621	0	1	7	11	10	6	10	1	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	4	18	13	8	13	8	1	2	1	1	1	1	1	1
1	5622	0	3	2	13	10	6	10	1	1	4	3	3	1	1	1	1	1	2	1	8	1	7	6	1	9	8	4	10	5	1	2	1	10	12	11	11	1
1	5623	0	5	5	25	11	6	10	1	2	4	3	2	1	1	1	1	1	2	1	8	2	12	7	1	10	5	5	9	3	2	2	1	15	14	14	14	15
1	5624	0	5	2	25	10	8	7	1	2	4	2	2	1	1	1	1	1	8	4	8	6	12	7	1	11	5	4	13	8	2	1	1	15	14	14	14	15
1	5625	0	2	1	25	10	8	7	1	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	10	1	8	1	1	1	2	1	7	9	3	2	2
1	5626	2	5	3	25	10	2	10	3	1	3	3	3	2	1	2	3	3	8	4	2	3	11	5	1	13	6	3	7	2	3	1	3	14	13	12	6	9
1	5627	2	3	4	5	10	2	10	3	1	3	3	3	3	1	1	3	1	8	4	2	4	7	7	1	6	6	4	11	5	1	2	3	14	13	12	1	11
1	5628	1	1	6	25	10	2	10	3	1	3	3	3	2	1	1	2	1	8	4	3	2	2	1	4	18	13	7	13	8	1	2	3	5	5	5	1	1
