RECID	HHOLDID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54
2	41	2	2	1	7	3	9	2	16	6	19	1	4	4	14	9	9	11	9	1	2	1	2	8	17	17	11	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	10	6	1	3	1	4	1	10	5	9	11	6
2	42	1	2	1	7	3	9	1	16	6	19	1	4	4	14	9	9	11	9	8	6	9	1	12	17	17	1	14	5	5	2	2	2	2	2	2	2	2	2	22	8	8	5	13	1	3	3	2	1	3	10	5	14	14	15
2	43	1	2	1	2	1	5	11	5	1	12	1	1	2	3	3	1	2	1	1	2	1	1	10	17	17	10	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	6	5	2	3	1	4	3	8	5	14	14	15
2	45	1	1	3	3	2	4	9	5	1	13	1	1	2	1	3	1	2	1	1	1	1	1	15	13	9	13	11	9	2	2	2	1	1	1	2	1	2	2	22	8	8	1	9	8	1	2	1	4	1	8	4	12	12	7
2	46	1	1	3	3	1	1	11	9	3	15	1	1	2	3	3	1	2	2	1	2	1	2	10	7	7	6	1	9	1	2	2	1	1	1	2	1	2	2	22	8	8	1	1	10	1	2	1	4	1	8	4	12	4	3
2	46	2	2	1	2	1	1	8	2	4	10	1	1	2	3	3	1	2	1	8	6	9	1	3	17	17	7	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	4	18	1	2	7	1	4	2	6	5	6	7	2
2	47	1	2	1	3	1	1	8	2	1	10	1	1	2	3	3	1	2	1	2	1	1	2	3	3	1	11	1	9	1	2	2	2	2	2	2	2	1	2	22	8	8	1	2	9	1	2	1	4	1	8	1	14	14	15
2	50	1	2	1	2	1	1	10	3	1	12	1	1	2	2	3	1	2	1	1	2	1	1	13	11	7	10	1	9	1	1	2	2	2	2	2	2	2	2	4	5	8	1	1	9	2	4	1	4	1	8	2	9	9	1
2	51	1	2	1	2	1	3	11	2	1	9	1	1	2	3	3	1	2	1	1	2	1	1	3	17	17	11	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	10	13	2	3	1	4	1	8	5	9	11	8
2	56	1	2	1	2	1	3	11	2	1	10	1	1	2	2	3	1	2	2	2	2	1	3	9	17	17	7	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	9	5	2	2	1	4	1	8	5	6	7	1
2	57	1	2	1	2	1	4	10	5	1	13	1	1	2	3	3	1	2	1	1	2	1	1	10	8	6	10	1	9	1	2	1	2	2	2	2	2	2	2	22	8	7	1	1	13	2	3	1	4	1	8	3	13	9	5
2	59	1	2	1	2	1	1	8	1	1	6	1	1	2	3	3	1	2	1	1	2	1	2	9	17	17	10	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	5	5	1	2	1	4	1	5	5	13	10	5
2	60	1	2	1	2	1	4	10	4	1	12	1	1	2	3	3	1	2	1	1	2	1	3	4	17	17	4	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	6	3	2	8	1	4	4	6	5	6	4	4
2	61	1	2	1	2	1	3	11	4	1	11	1	1	2	3	3	1	2	2	1	2	1	1	7	1	6	8	1	9	1	1	2	2	2	2	2	2	2	2	6	1	8	1	1	11	1	3	1	4	1	8	2	9	4	4
2	64	1	2	1	2	1	4	11	5	3	13	1	1	2	3	3	1	2	1	1	1	1	2	10	17	17	9	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	9	6	1	2	1	4	1	8	5	9	8	3
2	64	2	2	1	3	1	1	8	1	4	7	1	1	2	3	3	1	2	1	8	6	9	2	5	17	17	4	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	4	18	1	2	8	1	4	2	8	5	5	4	3
2	73	1	2	1	1	1	9	8	16	6	19	1	1	2	4	2	1	1	1	8	6	9	2	5	17	17	6	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	3	18	1	1	5	1	4	1	8	5	5	6	4
2	74	1	2	1	3	1	4	11	7	1	14	1	1	2	2	3	1	2	2	1	3	2	1	10	10	4	12	1	9	1	2	2	2	2	2	2	2	1	2	22	8	8	1	12	13	1	3	1	4	1	8	1	14	14	15
2	76	1	2	1	2	1	2	13	14	3	14	1	1	2	3	3	1	2	2	1	2	1	1	10	16	16	9	1	9	1	2	2	1	1	2	1	1	2	3	22	8	8	1	1	13	2	4	1	4	1	8	6	9	9	4
2	76	2	2	1	2	1	2	9	7	4	14	1	1	2	3	3	1	2	1	8	6	9	1	3	17	17	4	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	4	18	1	2	9	1	4	2	8	5	3	4	4
2	78	1	2	1	2	1	2	10	5	1	12	1	1	2	3	3	1	2	1	3	2	1	1	8	17	17	7	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	5	8	2	3	1	4	1	8	5	9	10	2
2	79	1	1	3	3	1	5	11	7	3	14	1	1	2	2	3	1	2	1	1	2	1	2	14	16	16	11	2	9	2	2	2	1	1	1	2	1	2	2	22	8	8	1	2	13	2	3	1	4	1	8	4	9	11	1
2	79	2	2	1	2	1	1	8	3	4	11	1	1	1	2	3	2	6	1	8	6	9	1	5	17	17	8	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	4	18	1	2	7	1	4	2	6	5	10	8	3
2	80	1	2	1	3	1	7	11	5	1	10	1	1	2	3	3	1	2	1	8	6	9	1	13	17	17	7	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	4	18	1	2	8	1	4	1	8	5	8	4	4
2	81	1	1	3	2	1	1	11	9	3	15	1	1	2	1	3	1	2	1	1	1	1	2	7	7	2	9	1	9	1	2	2	1	1	1	2	1	2	2	22	8	8	1	2	11	1	3	1	4	1	8	4	9	9	6
2	81	2	2	1	4	1	2	10	6	4	14	1	1	2	2	3	1	2	1	3	1	1	1	4	1	3	4	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	2	2	4	1	8	1	4	2	8	5	9	4	2
2	82	1	2	1	2	1	7	9	2	1	6	1	1	1	3	3	1	2	1	1	3	3	2	3	1	3	9	1	9	1	1	2	2	2	2	2	2	2	2	4	1	8	1	4	5	2	2	1	4	1	5	2	8	8	9
2	83	1	1	3	2	1	4	11	6	1	14	1	1	2	3	3	1	2	1	8	6	9	1	11	11	3	12	1	9	1	1	2	2	1	1	2	1	2	2	16	6	8	1	6	10	1	4	1	4	1	8	4	9	12	11
2	85	1	2	1	3	1	4	8	3	1	11	1	1	2	3	3	1	2	1	1	2	1	1	9	17	17	8	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	7	7	1	3	1	4	1	8	5	11	8	6
2	88	1	2	1	2	1	1	8	1	1	4	1	2	4	14	9	9	11	9	1	2	1	5	7	17	17	8	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	9	5	2	4	1	4	1	8	5	8	8	4
2	89	1	1	3	2	1	4	9	4	1	13	1	1	2	2	3	1	2	1	4	2	1	1	12	9	8	10	1	9	1	2	2	1	1	1	2	1	2	3	22	8	8	1	5	7	1	3	1	4	1	8	6	13	10	2
2	90	1	4	9	10	5	8	14	15	5	18	2	3	3	13	8	8	10	8	7	5	8	6	16	16	16	14	14	8	5	3	3	3	3	3	3	3	3	3	21	7	7	6	18	13	8	11	3	3	16	9	6	14	14	15
2	90	2	4	9	10	5	8	14	15	5	18	2	3	3	13	8	8	10	8	7	5	8	6	16	16	16	14	14	8	5	3	3	3	3	3	3	3	3	3	21	7	7	6	18	13	8	11	3	3	16	9	6	14	14	15
2	90	3	2	1	7	3	9	2	16	5	19	1	4	4	14	9	9	11	9	1	1	1	1	9	17	17	1	14	1	5	2	2	2	2	2	2	2	2	2	22	8	8	1	6	1	1	1	1	3	4	10	5	14	14	15
2	93	1	2	1	2	1	1	9	2	1	9	1	1	1	9	3	2	6	1	1	2	1	2	9	17	17	10	1	9	1	1	2	2	2	2	2	2	2	2	4	4	8	1	9	6	1	2	1	4	1	8	2	10	11	10
2	97	1	2	1	2	1	3	10	6	1	14	1	1	2	3	3	1	2	2	4	2	1	1	5	17	17	2	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	1	1	7	1	3	1	4	1	8	5	2	2	1
2	102	1	2	1	3	1	2	10	4	1	12	1	1	2	3	3	1	2	1	2	2	1	2	7	17	17	5	1	9	1	2	2	2	2	2	2	2	2	2	22	8	8	2	6	1	2	7	1	4	2	8	5	12	5	4
2	104	1	2	1	2	1	1	11	3	1	10	1	1	2	3	3	1	2	1	1	2	1	1	8	1	7	4	1	9	1	1	2	2	2	2	2	2	2	2	6	4	8	1	6	4	2	8	1	4	2	6	2	11	5	3
2	105	1	2	1	2	1	1	8	1	1	5	1	2	4	14	9	9	11	9	8	6	9	3	6	17	17	1	1	1	4	2	2	2	2	2	2	2	2	2	22	8	8	5	11	1	1	3	1	2	1	8	5	1	1	1
