"","recid","hholdid","i1_person_id","j1_journey_num","j2_land_use_origin","j3_area_type_origin","j4_land_use_dest","j5_area_type_dest","j6_plan_region_origin","j7_plan_region_dest","j8_purpose","j9_purpose_to","j10_purpose_from","j11_main_transport","j12_shortwalk","j13_num_stages_excl_shortwalk","j14_length_excl_shortwalk","j15_mi_exc_shortwalk","j16_freq_journey","j17_day_of_week","j18_day_of_recording_period","j19_journey_duration","j20_mins","j21_time_start","j22_time_end","j24_wait_time","j25_pct_time_wait","j26_length_inc_shortwalk","j27_mi_inc_shortwalk","j28_num_stages_inc_shortwalk","j30_why_not_vehicle","j31_mean_overall_speed"
"379",4,5171,2,1,"DNA",6,"DNA",6,13,13,"Day-trip","DNA","DNA","Walk",FALSE,2,"1 to 1.9 miles",1,"DNA",5,5,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"380",4,5171,2,2,"DNA",6,"DNA",6,13,13,"Day-trip","DNA","DNA","Walk",FALSE,2,"1 to 1.9 miles",1,"DNA",5,5,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"381",4,5171,2,3,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Walk",FALSE,2,"2 to 2.9 miles",2,"DNA",5,5,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"382",4,5171,2,4,"DNA",6,"DNA",6,13,13,"Social","DNA","DNA","Walk",FALSE,2,"2 to 2.9 miles",2,"DNA",5,5,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"383",4,5171,2,1,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Walk",FALSE,2,"1 to 1.9 miles",1,"DNA",6,6,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"384",4,5171,2,2,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Walk",FALSE,2,"1 to 1.9 miles",1,"DNA",6,6,"DNA",0,NA,NA,14,13,"1 to 1.9 miles",1,1,8,9
"385",4,5171,2,1,"Home base",4,"Recreation",4,3,3,"Personal business","Personal business","Home","Walk",TRUE,1,"DNA",0,"2-4 times a week",7,7,"Under 15 mins",10,"1100 - 1129","1100 - 1129",1,1,"Under 1 mile",0.1,1,8,1
"386",4,5171,2,2,"Recreation",4,"Home base",4,3,3,"Personal business","Home","Personal business","Walk",TRUE,1,"DNA",0,"2-4 times a week",7,7,"Under 15 mins",10,"1200 - 1229","1200 - 1229",1,1,"Under 1 mile",0.1,1,8,1
"387",4,5171,2,3,"Home base",4,"DK/NA",4,3,3,"Day-trip","NA","Home","Walk",TRUE,1,"DNA",0,"2-4 times a week",7,7,"30 to 44 mins",30,"1230 - 1259","1300 - 1329",1,1,"Under 1 mile",0.5,1,8,1
"388",4,5171,2,4,"DK/NA",4,"Home base",4,3,3,"Day-trip","Home","NA","Walk",TRUE,1,"DNA",0,"2-4 times a week",7,7,"30 to 44 mins",30,"1300 - 1329","1330 - 1359",1,1,"Under 1 mile",0.5,1,8,1
"389",4,5171,2,5,"Home base",4,"Recreation",4,3,3,"Personal business","Personal business","Home","Walk",TRUE,1,"DNA",0,"2-4 times a week",7,7,"Under 15 mins",10,"1830 - 1859","1830 - 1859",1,1,"Under 1 mile",0.1,1,8,1
"390",4,5171,2,6,"Recreation",4,"Home base",4,3,3,"Personal business","Home","Personal business","Walk",TRUE,1,"DNA",0,"2-4 times a week",7,7,"Under 15 mins",10,"1930 - 1959","1930 - 1959",1,1,"Under 1 mile",0.1,1,8,1
"391",4,5171,3,1,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",1,1,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"392",4,5171,3,2,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",1,1,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"393",4,5171,3,3,"DNA",6,"DNA",6,13,13,"Entertainment","DNA","DNA","Other stage bus",FALSE,2,"2 to 2.9 miles",2,"DNA",1,1,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"394",4,5171,3,4,"DNA",6,"DNA",6,13,13,"Entertainment","DNA","DNA","Other stage bus",FALSE,2,"2 to 2.9 miles",2,"DNA",1,1,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"395",4,5171,3,1,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",2,2,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"396",4,5171,3,2,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",2,2,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"397",4,5171,3,1,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",3,3,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"398",4,5171,3,2,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",3,3,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"399",4,5171,3,1,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",4,4,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"400",4,5171,3,2,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",4,4,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"401",4,5171,3,3,"DNA",6,"DNA",6,13,13,"Entertainment","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",7,"DNA",4,4,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",7,1,8,9
"402",4,5171,3,4,"DNA",6,"DNA",6,13,13,"Entertainment","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",7,"DNA",4,4,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",7,1,8,9
"403",4,5171,3,1,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",5,5,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"404",4,5171,3,2,"DNA",6,"DNA",6,13,13,"Educational","DNA","DNA","Othar public transport",FALSE,2,"2 to 2.9 miles",2,"DNA",5,5,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"405",4,5171,3,1,"DNA",6,"DNA",6,13,13,"sport (Part)","DNA","DNA","Other stage bus",FALSE,2,"2 to 2.9 miles",2,"DNA",6,6,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"406",4,5171,3,2,"DNA",6,"DNA",6,13,13,"sport (Part)","DNA","DNA","Other stage bus",FALSE,2,"2 to 2.9 miles",2,"DNA",6,6,"DNA",0,NA,NA,14,13,"2 to 2.9 miles",2,1,8,9
"407",4,5171,3,3,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",5,"DNA",6,6,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,1,8,9
"408",4,5171,3,4,"DNA",6,"DNA",6,13,13,"Shopping","DNA","DNA","Other stage bus",FALSE,2,"5 to 9.9 miles",5,"DNA",6,6,"DNA",0,NA,NA,14,13,"5 to 9.9 miles",5,1,8,9
"409",4,5171,3,1,"Home base",4,"Retai1 trade",4,3,3,"Shopping","Shopping","Home","Walk",TRUE,1,"DNA",0,"2-4 times a week",7,7,"Under 15 mins",5,"1100 - 1129","1100 - 1129",1,1,"Under 1 mile",0.2,1,8,1
"410",4,5171,3,2,"Retai1 trade",4,"Home base",4,3,3,"Shopping","Home","Shopping","Walk",TRUE,1,"DNA",0,"2-4 times a week",7,7,"Under 15 mins",5,"1100 - 1129","1100 - 1129",1,1,"Under 1 mile",0.2,1,8,1
"411",4,5171,3,3,"Home base",4,"Open space - develop",4,3,3,"sport (Part)","Sport (Part)","Home","Walk",TRUE,1,"DNA",0,"Weekly",7,7,"Under 15 mins",8,"1400 - 1429","1400 - 1429",1,1,"Under 1 mile",0.5,1,8,1
"412",4,5171,3,4,"Open space - develop",4,"Home base",4,3,3,"sport (Part)","Home","Sport (Part)","Walk",TRUE,1,"DNA",0,"Weekly",7,7,"Under 15 mins",8,"1600 - 1629","1600 - 1629",1,1,"Under 1 mile",0.5,1,8,1
"413",4,5171,3,5,"Home base",4,"Temp residence",4,3,3,"Social","Social","Home","Other stage bus",FALSE,2,"2 to 2.9 miles",2,"Less frequent, Irregular",7,7,"15 to 29 mins",20,"1930 - 1959","1930 - 1959",1,1,"2 to 2.9 miles",2.4,3,8,2
"414",4,5171,3,6,"Temp residence",4,"Home base",4,3,3,"Social","Home","Social","Other stage bus",FALSE,2,"2 to 2.9 miles",2,"Less frequent, Irregular",7,7,"15 to 29 mins",20,"2030 - 2059","2100 - 2129",1,1,"2 to 2.9 miles",2.4,3,8,2
